Type;Name;Id;ImageName;Property;Effect;Notes
ItemRebirth;<3;15;collectibles_015;red,heart;Attaches a beating heart to Isaac's chest upon pickup. Increases available Heart Containers by one and restores all health.;*Despite restoring full HP, this item will not raise ??? back to 3 soul hearts before adding one.
ItemRebirth;???'s Only Friend;320;collectibles_320;fly, blue;Gives Isaac a controllable follower that damages enemies on touch. Works similar to The Ludovico Technique and Robo-Baby 2.0.;*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.
ItemRebirth;1UP;11;collectibles_011;mushroom, green;Upon death, the player will respawn in the previous room with full HP, at the cost of using up the 1UP. It is possible to find the 1UP multiple times in the same run, although this is rare.;
ItemRebirth;20/20;245;collectibles_245;glasses;Grants a double shot.;*Unlike other multiple shot items like Mutant Spider or The Inner Eye, 20/20 does not reduce rate of fire, effectively doubling damage per second potential. It does not however synergize with as many items as the other shot multipliers do. *Even Cain shoots two tears at once with 20/20, despite having only one eye.
ItemRebirth;3 Dollar Bill;191;collectibles_191;3 dollar, bill, pink;Grants Isaac rainbow tears.;*The type of randomized tear is determined upon entering a room. *If a run is quit, and then continued, 3 Dollar Bill will have a new random tear effect for the current room.
ItemRebirth;9 Volt;116;collectibles_116;batterie, battery, black;*Fully charges the current activated item upon first pickup. *If the current activated item has a recharge time of more than 1 bar, then it will grant 1 bar of charge whenever the item is activated. *If the current activated item has a recharge time of 1 bar, then it will change the item to have a timed recharge of 15 seconds. The recharging of the item only triggers so long as there are enemies present in the room in any fashion. Empty rooms do not cause recharging to start. *A fly or spider spawned in a cleared room will also cause recharging to start. *If the current activated item has a real-world unit-based recharge time, the effect of the 9 Volt may vary.;*Enemies generated through a Slot Machine, Shell Game Beggar, or breaking pots/skull will restart the charging process, even though a cleared room still counts as cleared if enemies are spawned in it.
ItemRebirth;Abaddon;230;collectibles_230;devil, red, pentagram;* +1.5 Damage. * +0.2 Speed. * Grants 6 [[Black Heart#Black Hearts|Black Hearts]]. * Removes all red [[Heart container#Heart Containers|heart containers]]. * Adds a chance to shoot [[Effects#Fear Tears|fear tears]].;*The chance to fire a fear tear depends on Isaac's Luck stat, and goes up to 100% at 85 Luck. *Does not remove Soul Hearts. *Has no negative trade-off when taken as ???, except the decreased chance of an Angel Room.
ItemRebirth;Abel;188;collectibles_188;face, brown;Spawns a familiar that mirrors the player's movements and shoots in the opposite direction.;*Although it is difficult to hit enemies with Abel, he can be useful in certain situations. Doples can be easily taken care of without risk of damage using Abel. Abel can also assist in killing slow or stationary monsters that happen to be around the center of the room. *In symmetrical room layouts Abel can be used to clear away destructible obstacles such as fire and poop.
ItemRebirth;Anarchist's Cookbook;65;collectibles_065;book, cookbook, anarchist;Spawns six troll bombs around the room, usually near the center of the room.;All passive bomb effect items affect the spawned troll bombs.
ItemRebirth;Anemic;214;collectibles_214;red, blood drop;*Upon taking damage, Isaac leaves a trail of creep that damages enemies until he leaves the room. *+5 Range;
ItemRebirth;Ankh;161;collectibles_161;ankh, grey, cross;*Grants an extra life. *Isaac will respawn as ???;Because characters are respawned as ???, if Azazel or The Lost are resurrected by this item, they will lose the ability to fly unless they picked up items granting such abilities. Azazel will also lose his short-ranged Brimstone. If Lilith is resurrected she will lose Incubus and fire as any other character instead
ItemRebirth;Anti-Gravity;222;collectibles_222;blue, water drop;*-2 Tear delay. As this tears upgrade directly affects tear delay, it allows Isaac's tear rate to go over the maximum rate of fire. *Holding the fire buttons causes tears to hover in midair. When released, the tears will all shoot in the direction they were originally fired. *If the fire buttons are not released, the tears will fire on their own after a while.;*Gravitational effects, such as Mega Fatty's inhalation or a Gaping Maw will pull floating tears toward them. *The Range attribute only affects the lifespan of the tears after they have been released. *Hovering tears can damage monsters like Knights or Mask Of Infamy from the front, even if they don't have the piercing effect.
ItemRebirth;Aquarius;308;collectibles_308;blue, water;A trail of blue creep follows behind Isaac and damages enemies that walk over it.;
ItemRebirth;Aries;300;collectibles_300;blue, black;*+0.25 speed. *Running into enemies while at a high speed will deal 18 points of damage. Does not prevent contact damage;
ItemRebirth;Ball of Bandages;207;collectibles_207;ball, pink, rock;*The first Ball of Bandages picked up will be an orbital that does 7 damage per tick to enemies on contact. Unlike the Cube of Meat, it does not block enemy shots.  *Ball of Bandages blocks enemy shots. *The second Ball of Bandages that is picked up will give the orbital the ability to shoot charm tears. *The third Ball of Bandages will remove the familiar and spawn a Bandage Girl that will chase enemies while firing charm tears. *The fourth Ball of Bandages will make the Bandage Girl bigger and stronger. Unlocks Super Bandage. Enemies killed by a level 4 Bandage Girl's tears have a chance to drop full red heart pickups. *A fifth Ball of Bandages will spawn another orbital like the first and any subsequent balls will repeat the cycle.;
ItemRebirth;Ball of Tar;231;collectibles_231;ball, bomb, black;*Adds a chance to shoot slowing tears, reducing speed of enemy movement and any projectile fired by them. *Isaac leaves a trail of slowing creep.;The probability of slowing a enemy with a tear depends on Isaac's luck, going up to 100% on 18 luck.
ItemRebirth;The Battery;63;collectibles_063;battery;*Active items can store an extra level of charge, allowing them to be used twice in one room. *Extra charges appear in yellow over the normal charge meter. *Does not affect self-recharging activated items.;
ItemRebirth;BBF;272;collectibles_272;fly, black, heart;*Spawns a familiar that flies around the room in a manner similar to the Boom Fly and explodes on contact with an enemy, dealing 70 damage to all enemies within its blast radius. *This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
ItemRebirth;The Bean;111;collectibles_111;bean, brown;*Upon use Isaac releases gas that slightly damages and poisons any enemies within close range. *The area of effect is 1 tile in all directions.;
ItemRebirth;The Belt;28;collectibles_028;belt, brown;+0.3 Speed;
ItemRebirth;Best Bud;274;collectibles_274;fly, grey;*When Isaac is hit, a white attack fly is spawned. The fly orbits Isaac at medium range, similar to Forever Alone, but with much higher speed. The fly despawns upon leaving the current room. *This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
ItemRebirth;Best Friend;136;collectibles_136;puppy, pink;Spawns a decoy Isaac that distracts enemies and explodes after a short while for 110 damage.;
